Cases and deaths per capita explained by overall full vaccination percentage independently in each state. No controls.
      State:                        Coef:                          p-val:                             VE:                     Population:       Number of counties:

CASES: 
 
Alabama                           -17.88894                         0.05405                           71.55661                 4710591                  53                       
Arkansas                          -37.03573                         0.02306                           105.90008                2825465                  57                       
California                        -6.28167                          0.24696                           33.79584                 39417301                 50                       
Colorado                          14.61780                          0.12943                           -52.20565                5540364                  36                       
Florida                           56.87887                          0.00000                           316.95219                21236552                 56                       
Georgia                           10.54470                          0.22740                           -90.42048                9838543                  98                       
Idaho                             31.85258                          0.17293                           -601.27961               1693807                  29                       
Illinois                          0.07934                           0.99435                           -0.20685                 12524374                 86                       
Indiana                           -12.49173                         0.23322                           29.25054                 6508315                  78                       
Iowa                              -2.88483                          0.82867                           8.94894                  3040069                  88                       
Kansas                            -35.14970                         0.16679                           62.38730                 2699774                  61                       
Kentucky                          0.71400                           0.95270                           -2.54174                 4128367                  88                       
Louisiana                         32.48158                          0.00010                           8651.82367               4467119                  51                       
Maryland                          -0.52118                          0.15726                           100.39091                5844740                  20                       
Michigan                          -21.57646                         0.03674                           39.26210                 9941045                  77                       
Minnesota                         -23.13606                         0.07268                           39.17886                 5507229                  73                       
Mississippi                       -29.66963                         0.04467                           104.95538                2575393                  52                       
Missouri                          21.36274                          0.04881                           -123.67948               5739227                  81                       
Montana                           -0.70829                          0.94579                           2.80913                  960754                   27                       
Nebraska                          -4.40902                          0.14776                           150.41823                1074598                  24                       
New Jersey                        14.86306                          0.51629                           -39.25950                8882314                  21                       
New Mexico                        -17.71590                         0.42521                           34.63888                 2058418                  25                       
New York                          29.44980                          0.03728                           -98.29916                19431371                 60                       
North Carolina                    1.92927                           0.80270                           -11.17757                10258672                 85                       
Ohio                              44.62912                          0.00025                           -213.24797               11689290                 88                       
Oklahoma                          1.58680                           0.87116                           -10.62110                3838963                  61                       
Oregon                            -12.33323                         0.18343                           50.66321                 4163638                  29                       
Pennsylvania                      -29.92390                         0.00113                           49.43058                 12797441                 66                       
South Carolina                    -5.15060                          0.59735                           29.51195                 5009815                  38                       
South Dakota                      53.93226                          0.05315                           -3082.90476              723841                   29                       
Tennessee                         4.38722                           0.61636                           -26.76295                6498837                  74                       
Texas                             3.02038                           0.59888                           -30.02715                28248958                 158                      
Virginia                          -10.89152                         0.12374                           35.53724                 7985644                  95                       
Washington                        7.17260                           0.34713                           -54.69486                7546957                  32                       
