Results for different models
    M1 : Cases per 100K explained by complete V%.
    M2 : Controlled for state.
    M3 : Controlled for metropolian area.
    M4 : Controlled for state and metropolian area.
    M5-M8 : Same as M1-M4, weighted by population.
    M9-M16 : Same as M1-M8, but deaths explained by V% and non-covid deaths.

        Coeff:           p:           R^2:           AIC:
 M1         1.266         0.000         0.011         37478.078
 M2         -0.545         0.007         0.623         34768.934
 M3         1.863         0.000         0.040         37391.172
 M4         -0.394         0.060         0.624         34763.418
 M5         -0.975         0.000         0.009         39528.856
 M6         -2.655         0.000         0.716         35991.573
 M7         -0.027         0.891         0.063         39368.685
 M8         -2.175         0.000         0.721         35940.415
 M9         0.039         0.424         0.000         28040.954
M10         0.195         0.001         0.316         27098.120
M11         0.106         0.014         0.254         27250.364
M12         0.203         0.001         0.316         27099.854
M13         -0.017         0.588         0.421         27015.042
M14         0.024         0.547         0.575         26261.093
M15         0.004         0.893         0.423         27008.920
M16         0.013         0.754         0.575         26262.520
